state_id,primitive,context,hash_required,audit_required,rollback_point,ethical_check,description
PRIM_boot_patch_CTX_boot,boot_patch,boot,YES,CONDITIONAL,YES,YES,boot_patch operation in boot context
PRIM_boot_patch_CTX_runtime,boot_patch,runtime,YES,CONDITIONAL,YES,YES,boot_patch operation in runtime context
PRIM_boot_patch_CTX_install,boot_patch,install,YES,YES,YES,YES,boot_patch operation in install context
PRIM_boot_patch_CTX_update,boot_patch,update,YES,YES,YES,YES,boot_patch operation in update context
PRIM_boot_patch_CTX_debug,boot_patch,debug,YES,CONDITIONAL,YES,YES,boot_patch operation in debug context
PRIM_boot_patch_CTX_kernel,boot_patch,kernel,YES,CONDITIONAL,YES,YES,boot_patch operation in kernel context
PRIM_boot_patch_CTX_cpu,boot_patch,cpu,YES,CONDITIONAL,YES,YES,boot_patch operation in cpu context
PRIM_boot_patch_CTX_irq,boot_patch,irq,YES,CONDITIONAL,YES,YES,boot_patch operation in irq context
PRIM_boot_patch_CTX_network,boot_patch,network,YES,CONDITIONAL,YES,YES,boot_patch operation in network context
PRIM_boot_patch_CTX_logs,boot_patch,logs,YES,CONDITIONAL,YES,YES,boot_patch operation in logs context
PRIM_boot_patch_CTX_rollback,boot_patch,rollback,YES,YES,YES,YES,boot_patch operation in rollback context
PRIM_boot_patch_CTX_audit,boot_patch,audit,YES,YES,YES,YES,boot_patch operation in audit context
PRIM_boot_patch_CTX_selinux,boot_patch,selinux,YES,CONDITIONAL,YES,YES,boot_patch operation in selinux context
PRIM_boot_patch_CTX_seccomp,boot_patch,seccomp,YES,CONDITIONAL,YES,YES,boot_patch operation in seccomp context
PRIM_boot_patch_CTX_ebpf,boot_patch,ebpf,YES,CONDITIONAL,YES,YES,boot_patch operation in ebpf context
PRIM_boot_patch_CTX_tmpfs,boot_patch,tmpfs,YES,CONDITIONAL,YES,YES,boot_patch operation in tmpfs context
PRIM_boot_patch_CTX_cache,boot_patch,cache,YES,CONDITIONAL,YES,YES,boot_patch operation in cache context
PRIM_boot_patch_CTX_db,boot_patch,db,YES,CONDITIONAL,YES,YES,boot_patch operation in db context
